"Treinamento","CATEGORIAS_1","(0: irrelevante ; 1: relevante ; 2: muito relevante)"
"coisas inúteis sobre mim

altura—1,57
tamanho do pé — 35/36
signo— capricórnio 
tatuagens — 1
piercing — 1
cor fav — rosa
série fav — desejo sombrio
animal fav — gato
comida fav ー sushi
bebida fav — coca cola
jogo fav — não jogo https://t.co/pmgkl9c0tl","2",""
"@_qlflet vários pingos de coca-cola","0",""
"@nandamiranda0 kkkkkkkkkkkk. se acha a última coca cola do deserto esse fdp e levou um fora lindo: ""tô nem aí"". 😂😂😂","0",""
"@gminhovk amanhã vou jogar no ataque no treino junto com tigo vou ter dar um passe de cara pro gol se vc não fizer vai me pagar uma coca - cola","0",""
"@quejess_ tu é a que toma coca cola ne?","0",""
"hmmmm,mó vontade de uma coxinha com coca cola mds","1",""
"coisas inúteis sobre mim
altura — 1,64
idade — 21
tamanho do pé — 36
signo — capricórnio 
tatuagens — 21
piercing — 7
cor fav — azul
série fav — keeping up with the kardashians
animal fav — cobra 
comida fav— japonesa 
bebida fav — coca cola https://t.co/1gy9rjkdh1","2",""
"minha versão de meter o pé na jaca foi não tomar café da manhã, almoçar as 15:00. e jantar as 19:00 tomando uma xícara (café) de  coca-cola, uma xícara (café) de açaí e um pão com queijo e salame. agora tô me sentindo inchada pra uns coroio","0",""
"coisas inúteis sobre mim

altura— 1,65
tamanho do pé— 35/36
signo— capricórnio
tatuagens— nenhuma
piercing— nenhum
cor fav— preta
série fav—tvd e b99
animal fav—cachorro
comida favー macarrão
bebida fav— coca-cola
jogo fav—papa's cupcakeria https://t.co/4az7gmgcsk","2",""
"na casa da @anailujeu que não tem água só coca cola https://t.co/skz2g0ekxy","0",""
"meu deus agr q eu percebi q eu jantei uma barra de chocolate e coca cola","0",""
"eu gosto mt que todo mundo q eu dei joja cola ate agora disse q odiava coca cola devia ter o mesmo tratamento","0",""
"eu sou a que toma três de coca cola e por isso tô desnutrida 😚✌🏻 https://t.co/8k8xwrla7g","1",""
"coisas inúteis sobre mim

altura: 1,56/58
calçado: 38/39
signo: escorpião
tattoo: uma
piercings: nenhum
cor: verde e roxo
série fav: friends, dark, oitnb
desenho fav: tom e jerry, pica pau, bob esponja
comida: sla nem gosto de comer
bebida: coca cola riri 
jogo fav: nem jogo gent https://t.co/o2yqmw6gae","2",""
"eu odeio coca cola https://t.co/itjcdvivnn","2",""
"coisas inúteis sobre mim
altura — 1,70
idade — 18
tamanho do pé — 37
signo — áries
tatuagens — 1
piercing — 0
cor fav — vermelho
série fav — lucifer 
animal fav — cachorro 
comida fav ー macarrão/ baião de dois
bebida fav — coca cola/ espanhola https://t.co/cwuozr0gdw","2",""
"coisas inúteis sobre mim
altura — 1,65
idade — 14
tamanho do pé — 37
signo — câncer 
tatuagens — 0
piercing — 0
cor fav — amarelo
série fav — the vampire diaries 
animal fav — golfinho
comida fav-- feijoada
bebida fav — suco de laranja/coca cola https://t.co/1uqyjdeplu","2",""
"coisas inúteis sobre mim
altura — 1,70 
idade — 2️⃣0️⃣
tamanho do pé — 47/48 🦶🏻
signo — gêmeos 👯‍♂️ 
tatuagens — 4 💉
piercings — 13 
cor fav — turquesa 🇰🇿
série fav — black mirror 🌫
animal fav — gato 🐱 
comida fav —  batata frita 🍟
bebida fav — coca-cola 🥤 https://t.co/zfw1vjjmrh","2",""
"@wongrrrr fui comprar coca cola andei duas rua e minhas perna começaram a doer ?????","0",""
"to desejando um copao de coca cola do mc donalds","1",""
"nss que vontade de pagar uma coca-cola pro @diogodcx","0",""
"coisas inúteis sobre mim
altura - 1,72
idade - 22
tamanho do pé - 39
signo - aquário
tatuagens - 7
piercing - 0
cor fav - rosa
série fav - prison break/gossip girl
animal fav - cachorro 
comida fav - churrasco
bebida fav - coca-cola
jogo fav - pubg 🥴🥴 https://t.co/gmrf05kqam","2",""
"eu ainda não acredito que existe gente que não gosta de coca cola","2",""
"coisas inúteis sobre mim:

altura — n sei
idade — 15
tamanho do pé — 35/36
signo — gêmeos 
tatuagens — 0
piercing — 0
cor fav — preto, amarelho
série fav — ponto cego
animal fav — dog
comida fav ー bife e strogonoff 
bebida fav — coca cola https://t.co/5e3mgshqtw","2",""
"rt @nunndavi: sera se batizaram minha coca cola e eu n vi?","0",""
"rt @memesdobernou: o banco do brasil acabou de divulgar a nova nota de r$200,00!!!
- moça, me vê duas balas e um refrigerante?
- opa! é pra…","0",""
"coisas inúteis sobre mim

altura — 1,53
idade — 19
tamanho do pé — 33/34
signo — capricórnio
tatuagens — 0
piercing — tinha 2
cor fav — rosa e verde
série fav — penny dreadful
animal fav — cobra
comida fav ー doces rs
bebida fav —  coca cola de cereja/amarula
jogo fav — sei la https://t.co/vli2lgiaae","2",""
"agr eu quero ver o @olv_matheusg falar que eu nunca paguei coca cola pra ele","0",""
"tome mais remédios pra não se atirar de um prédio, use camisinha e beba coca-cola.","0",""
"eu amo coca cola","2",""
"coisas inúteis sobre mim... 
altura: 1,63 
numero do calçado: 37
signo/mbti: áries/entj
tattoo: 0 
piercings: 0
cor: azul
série fav: his dark materials / westworld
anime fav: nenhum
comida: lasanha de frango
bebida: coca cola
jogo fav: dark souls https://t.co/98exhrp46x","2",""
"coisas inúteis sobre mim
altura — 1,61
idade — 16
tamanho do pé — 35
signo — leão 
tatuagens — 2
piercing — 4
cor fav — marrom
série fav — difícil dms
animal fav — gato
comida fav ー bolo de chocolate😍😍
bebida fav — coca cola https://t.co/fecm7bgggq","2",""
"destrui um dieta de 2 meses, com um mísero copo de coca cola.","1",""
"coisas inúteis sobre mim
altura — 1,60
idade — 17
pé — 37
signo — touro
tatuagens — 0
piercings — 1
cor fav — preto, azul e vermelho 
série fav - suits
animal fav — cachorro 
comida fav — strogonoff e churras
bebida fav — coca cola
jogo fav — brain wash https://t.co/ewurnju3wb","2",""
"@vinniciusa_ duas bananinhas e copinho de coca-cola ❤","0",""
"a latinha de coca-cola depois de eu pisar nela : https://t.co/87mkv01nu1","0",""
"tomei pavor de coca-cola, não consigo mas beber de jeito nenhum 🤢🤢","2",""
"coisas inúteis sobre mim

altura — 1,53
tamanho do pé — 33 (34 se for formato pequeno) 
signo — sagitário  
tatuagens — 4
piercing — 2
cor fav — azul
série fav — got e the resident
animal fav — cachorro
comida fav — comida japonesa 
bebida fav — coca cola
jogo fav — resident evil https://t.co/ju2ve1lefd","2",""
"coisas inúteis sobre mim
altura — 1,67
idade — 17
tamanho do pé — 37
signo —  câncer
tatuagens — 0 
piercing — 2
cor fav — azul
série fav — vis a vis
animal fav — gato
comida fav ー macarrão com carne moída 
bebida fav — coca cola
jogo fav- ff https://t.co/3vbnkc3m2u","2",""
"pepsi é bem melhor que coca cola","2",""
"coca cola, gin inglês, malbec uruguaio, laka e netflix https://t.co/ht6kshpckm","0",""
"os dois deitados no sofá, a coca cola na mão de yoongi enquanto ele resmungava sobre a falta de respeito que os atores tinham com outras culturas. não era o momento mais mágico como em um livro mas tudo que namjoon queria naquele momento era aqueles lábios em sua boca.","0",""
"pedi 7 fatias de bolo de chocolate com caramelo salgado, duas empadas e uma coca cola bem gelada. as duas da manhã, quem amou? https://t.co/jf8pcdw9l7","0",""
"@vantekth07 minha bisavô morreu por tanta coca cola, só q n foi câncer","0",""
"coisas inúteis sobre mim

altura — 1.61
tamanho do pé — 36
signo — capricórnio 
tatuagens — 3
piercing — 1
cor fav — amarelo 
série fav — friends 
animal fav — cachorro e gato  
comida fav — pão de alho  
bebida fav — coca-cola
jogo fav — let’s go pikachu https://t.co/ahbudgtoev","2",""
"coisas inúteis sobre mim
altura — 1,72
idade — 21
tamanho do pé — 36
signo —  câncer 
tatuagens — 0
piercing — 0
cor fav — azul
série fav - jessica jones
animal fav — tartaruga
comida fav ー lula
bebida fav — coca-cola
jogo fav- the sims https://t.co/gqbbpglwik","2",""
"acabei de amassa três misto quente e um copão de coca cola😋","1",""
"e eu que acordo procurando coca cola 🤦‍♀️","1",""
"coisas inúteis sobre mim
altura — 1,54
idade — 19
tamanho do pé — 36
signo — escorpião 
tatuagens — 1
piercing — 3
cor fav — preto/azul
série fav — anne with an e 
animal fav — cachorro/gato
comida fav— strogonoff 
bebida fav — coca cola https://t.co/7cl19rbyit","2",""
"rt @catraversal: @renaitrelux ok, isso veio em boa hora porque eu só bebo coca cola então.... obrigada cici!!","0",""
"@joel_sko alguma coca-cola ao som do trio parada dura enquanto meu pai jogava sinuca com os amigos, sertanejo bom de verdade","0",""
"coisas inúteis sobre mim
altura — 1,63
idade — 13
tamanho do pé — 37/38
signo — libra
tatuagens — 0
piercing — 0
cor fav — preto
série fav —  nenhuma
animal fav — nenhum 
comida fav ー hambúrguer e batata maluca 
bebida fav — coca cola","2",""
"coisas inúteis sobre mim
altura — 1,58
idade — 16
tamanho do pé — 37
signo — touro
tatuagens — 0
piercing — 0
cor fav — roxo 
série fav — riverdale
animal fav — cachorro 
comida fav ー carne moída c purê de batata 
bebida fav — coca cola https://t.co/noclghgryx","2",""
"coisas inúteis sobre mim
altura — 1,65 (me perdoem)
idade — 19
tamanho do pé — 39
signo — qm liga 
tatuagens — 0
piercing — 0 
cor fav — vermelho
série fav — chicago pd
animal fav — gato
comida fav ー pizza
bebida fav — coca-cola
jogo fav — mortal kombat shaolin monks https://t.co/qbi2dzfwrn","2",""
"@lvsjkjm aaaaa kasdjaksdjk ya eu acho q eu gosto de ser &gt;&gt;a&lt;&lt; coca cola","0",""
"preciso me libertar desse mal que se chama coca cola ahahahah","1",""
"1 garrafa de café + coca cola = eu jogando uma hora dessas numa segunda","0",""
"coisas inúteis sobre mim
altura — 1,60
idade — 13
tamanho do pé — 36/37
signo — virgem
tatuagens — nenhuma
piercing — 1 
cor fav — preto
série fav — teen wolf 
animal fav — cachorro 
comida fav-- strogonoff
bebida fav — coca cola https://t.co/suubr6qrcl","2",""
"coisas inúteis sobre mim
altura — 1,56
idade — 17
tamanho do pé — 35
signo — câncer
tatuagens — 0
piercing — 0
cor fav — azul tiffany
série fav — pll
animal fav — dog 
comida fav— churrasco 
bebida fav — coca cola https://t.co/nkoho4oucp","2",""
"coisas inúteis sobre mim

altura— 1,60
tamanho do pé— 37
signo— gêmeos
tatuagens— 0
piercing— 0
cor fav— vermelho/preto/roxo
série fav— elite/friends
animal fav— cachorro
comida favー pizza
bebida fav— coca-cola
jogo fav— nenhum https://t.co/ky4bc9qglj","2",""
"@lepetitdone nossa amig jurou vou colocar numa coca cola bem gelada que vai ser sucesso","1",""
"coisas inúteis sobre mim 
altura- 1,47
idade- 15
tamanho do pé- 36 
signo- capricórnio 
tatuagens- 0
piercings- 4
cor fav- preto 
série fav- supernatural
animal fav- cachorro 
comida fav- batata de qualquer jeito 
bebida fav- coca cola https://t.co/dkn7w6htel","2",""
"eu fico impressionado com o tanto que coca-cola e bom, é a melhor bebida ja inventada e quem questionar tem problema","2",""
"ontem tentei comer só consegui comer duas colheres de comida e um copao de coca cola ( amo coca cola) 
hoje tentei nem coca cola quero mais tomar 😕","2",""
"qual o pior refrigerante e pq coca cola? https://t.co/hwlkdejom4","2",""
"@ilyinred coca cola coisa os osso","1",""
"coisas inúteis sobre mim 

altura — 1,56
idade — 20
tamanho do pé — 35
signo — sagitário 
tatuagens — 0
piercing — 0
cor fav — preto e vermelho 
série fav — no momento bayyanlış
animal fav — cachorro
comida fav ー lasanha 
bebida fav - coca cola
jogo fav — não tenho https://t.co/yzuxa1oow2","2",""
"entupir o cu de doritos e coca cola até cagar laranja","0",""
"9h e eu tomando coca cola 
minha saúde indo de mal a pior kkkkk merda","1",""
"eu to tomando coca cola em plenas 08:38","0",""
"@sensestae @bts_twt vei kkkkkkk achei q era coca cola","0",""
"coisas inúteis sobre mim
altura — 1,62
idade — 23
tamanho do pé — 36
signo — áries 
tatuagens — 1
piercing — 1
cor fav — preto
série fav — vis a vis 
animal fav — cachorro
comida fav — qualquer comida de caldo 
bebida fav — coca cola https://t.co/4wgdsrlynl","2",""
"que coca cola dava mancha na pele (ela usava minhas cicatrizes de picada, machucado etc pra me mostrar) 🤡 https://t.co/a4nf512r6j","0",""
"queria um hambúrguer com uma coca cola geladíssima","1",""
"casa carinho e coca cola","0",""
"coca cola geladinha nesse calor é tudo pqp","1",""
"@neocitex @duffnbones @thomzxx ele disse algo sobre se hidratar com coca cola como vc esqueceu um momento desse?","1",""
"torta de limão e coca cola, não é uma combinação legal, fica a dica","0",""
"depois do plantão,nada mais justo do que uma coca cola....
😉💓👨‍🚒🔥🚒 em jundiaí https://t.co/q8y2ib1oq2","1",""
"coisas inúteis sobre mim
altura — 1,80
idade — 19
tamanho do pé — 43
signo — aquário 
tatuagens — 2
piercing — 0
cor fav — preto
série fav — nenhuma
animal fav — cachorro
comida fav ー strogonoff de frango
bebida fav — coca cola https://t.co/gth5kcdump","2",""
"já dizia meu irmão marco antônio vulgo gago: coca cola e 3 pedrinhas de gelo pra curar ressaca . 😪","1",""
"vou até tomar uma coca cola kkkkkk","0",""
"rt @icaromoraes2: se mataram numa prova pra ter um poder podre 
até uma coxinha com coca cola gelada vale mais
#provadefogo https://t.co/m3…","0",""
"agora coca cola só ano que vem","1",""
"@henriquenq7 henri isso é tudo xaxa, come oq quiseres, eu não deixei nada, só reduz na coca-cola etc","1",""
"coisas inúteis sobre mim
altura — 1,60
idade — 17
tamanho do pé — 37/38
signo — áries
tatuagens — 0
piercing — 0
cor fav — rosa
série fav — eu nunca
animal fav — nenhum,tenho medo de animais
comida fav ー hambúrguer
bebida fav — coca_cola https://t.co/qdu1zm8tdl","2",""
"coisas inúteis sobre mim

altura — 1,68m
idade — 24
tamanho do pé — 41
signo — touro
tatuagens — 0 :(
piercing — 1
cor fav — preto/azul
série fav — scandal/ahs
animal fav — cachorro
comida fav — macarrão
bebida fav — coca-cola","2",""
"coisas inúteis sobre mim

altura — 1,68
idade — 18
tamanho do pé — 41
signo - gêmeos
tatuagens — 0
piercing — 0
cor fav — azul 
série fav — pior que não faço idéia 
animal fav — dog
comida fav — pizza
bebida fav — coca cola https://t.co/yrc3vswjyn","2",""
"pepsi é e sempre vai ser melhor que qualquer refrigerante, principalmente melhor q coca cola.","2",""
"70% do meu corpo é coca cola","1",""
"@laminaeseda coisas inúteis sobre mim

altura— 1,53
tamanho do pé— 36
signo— sagitário 
tatuagens— 0 
piercing— 0
cor fav— roxo 
série fav— got/friends/b99/odaat
animal fav— hamster 
comida favー lasanha 
bebida fav— coca cola 
jogo fav— não tenho","2",""
"coisas inúteis sobre mim

altura — 1,76
tamanho do pé — 42
signo — virgem
tatuagens — 0
piercing — 0
cor fav — azul
série fav — star wars rebels/the clone wars
animal fav — gato
comida fav — hambúrguer 
bebida fav — coca cola 
jogo fav — uno eu acho https://t.co/njynblcqpk","2",""
"ontem disse que seria o último dia do ano que estaria tomando coca cola/refrigerante

espero conseguir lembrar e cumprir isso","1",""
"eu nunca tomei mas eu sinto no fundo do meu ser que eu vou morrer sla

gente eu não posso tomar aquela coca cola com café, quem dirá um energético daquele tamanho https://t.co/p8lckuregf","1",""
"passei 1 ano sem tomar coca cola mas bastou tomar um copo que o vício já voltou com tudo","2",""
"coisas inúteis sobre mim
altura — 1,60 e alguma coisa 
idade — 20
tamanho do pé — 37/38
signo — virgem
tatuagens — 1
piercing — 0
cor fav — azul/preto/cinza 
série fav — the 100 
animal fav — pato/gato 
comida fav ー bolinho de carne com arroz e purê
bebida fav — coca cola https://t.co/o4axzhvauq","2",""
"coisas inúteis sobre mim
altura — 1,65
idade — 16
tamanho do pé — 38
signo — peixes
tatuagens — 0
piercing — 1
cor fav — preto/roxo/ verde água 
série fav — pll/st/blindspot/the vampire diaries 
animal fav — gato
comida fav-- pizza
bebida fav — coca cola https://t.co/cutkg2hket","2",""
"@webersilva10 tu trabalha na coca cola mano deve ter coca liberado o dia todo","0",""
"7 meses longe do meu vício chamado: coca-cola","2",""
"vendendo igual coca-cola, tudo que eu rimo cola, é que eu só rimo coca","0",""
"ontem de madrugada eu tava lembrando de uma professora que me deu um copo de coca-cola na escola com cuspi porque eu era afeminada. eu só fui descobrir do cuspi depois, para mim ela estava apenas sendo generosa","0",""
"eu era mto assim com coca cola https://t.co/iaicojfnve","0",""
"valeu coca cola, agr eu só durmo de 5h","0",""
"coisas inúteis sobre mim

altura — 1,66
tamanho do pé — 38
signo — leão
tatuagens — 0 
piercing — 2
cor fav — azul?
anime fav — 
animal fav — gato/cobra
comida fav — batata frita 
bebida fav — coca cola
jogo fav — https://t.co/akyvkorzgc","2",""
"nossa que vontade de tomar coca cola https://t.co/f1oscxheql","1",""
"mds as idéia pra foto mas só tá faltando a coca cola o boné branco o pirulito e coragem kk","1",""
"12 pila a coca cola porra assim não dá né","0",""
"não tem coisa mais crente culture que olhar a embalagem da coca cola ao contrário e ler ""alô diabo""... https://t.co/owgtrdq7jg","0",""
"@__mzayon mano, estou há 5 meses sem refrigerante. no começo, era muito ruim, mas você aguenta, cheguei a tomar 4l de coca cola por dia.....","1",""
"preciso aprender a beber a mesma quantidade de água igual eu bebo de coca cola","0",""
"@renaitrelux ok, isso veio em boa hora porque eu só bebo coca cola então.... obrigada cici!!","1",""
"eu tô tão sentimental hj q até pelo copo de coca cola q eu derrubei hj, eu chorei","0",""
"confissões da madrugada👽

sou crente mas não gosto de coca-cola","2",""
"@_naialvesss pipoca e coca cola gelada","1",""
"pois cansada após serviço pedi um yakissoba: insetos na verdura
sem janta, pedi um mc: tudo errado e encharcado de coca cola
desisto","0",""
"rt @_isaacromano: tomar aquela coca cola com dentista jogador @yuripiramides","0",""
"@liviamariosa @cesa1oliveira sério coxinha e coca cola?","0",""
"vou fazer meu ovo com salada e coca cola","1",""
"coisas inúteis sobre mim

altura—1,66
idade—14
tamanho do pé— 36
signo— leao
tatuagens—0
piercing— em breve, 2
cor fav— preto e amarelo
série fav— vikings
animal fav— gatos
comida favー hamburguer 
bebida fav— coca cola zero
jogo fav— amor doce 🙏 https://t.co/tapja0nglk","2",""
"coisas inúteis sobre mim
altura - 1,65
idade - 17
tamanho do pé - 38
signo - eu sou o cavaleiro de ouro de gêmeos
tatuagens - 0
piercing - 0
cor favorita - branco e preto
série favorita - sobrenatural &amp; good doctor
animal fav - sla
comida fav - empadão
bebida favorita - coca cola https://t.co/cxs8yle7vo","2",""
"não acredito que no próximo rolê vou postar uma foto com o meu copo até a borda de coca - cola usando a frase: traz a clt pq hoje dar trabalho https://t.co/hirmi8dot4","1",""
"coca-cola nn me deixa bem da cabeça","2",""
"coca cola de vanilla é o melhor refrigerante já fabricado","2",""
"@lucspessoaa nois já é de uns dias né dog fala aí .. piro sou eu q tenho 20 seguidor , to mais esquecido que o rato da coca cola 🥺","0",""
"coisas inúteis sobre mim

altura — 1,58
idade — 7
tamanho do pé — 35
signo — gemeos
tatuagens — 0
piercing — 0
cor fav — vermelho ¿?
série fav — vo dize tua no sei
animal fav — nao sei porra
comida fav ー frango.empanado.
bebida fav —  coca cola
jogo fav — ?

vsf so pergunta ruim https://t.co/g1pgwyecqe","2",""
"coisas inúteis sobre mim

altura—1,63
tamanho do pé — 36 ou 37
signo— virgem
tatuagens — 0
piercing — 0
cor fav — amarelo ou azul 
série fav — the good place
animal fav — dog 
comida fav ー strogonoff 
bebida fav — coca cola
jogo fav — vixi https://t.co/lihysecfw8","2",""
"@factosdabanda lhe dava com uma garrafa de coca cola da cabeça 🤦🏿‍♂️","0",""
"coisas inúteis sobre mim
altura — 1,62
idade — 15 
tamanho do pé — 35
signo — áries
tatuagens — 0
piercing — 1
cor fav — não tem uma específica
série fav — on my block
animal fav — gato
comida fav ー lasanha
bebida fav — coca cola https://t.co/8is48nzi76","2",""
"coisas inúteis sobre mim
altura — nao sej
idade — 17
tamanho do pé — 38
signo — escorpião
tatuagens — 0
piercing — 0
cor fav — preto e vermelho
série fav — nenhuma
animal fav — cachorro
comida fav — macarrão
bebida fav — coca cola https://t.co/kxzbs5ajvm","2",""
"gente pprt vocês já comeram bolacha maria molhada na coca-cola? é mó gostosinho https://t.co/lxztqic0ib","0",""
"coisas inúteis sobre mim

altura- 1,58
idade- 15
tamanho do pé- 36/37
signo- leão 
tatuagens- 0
piercing- 1
cor fav- preto 
série fav- nenhuma 
animal fav- gato
comida fav- macarrão 
bebida fav- coca cola https://t.co/lpqsij5oyu","2",""
"coisas inúteis sobre mim

altura— 1,60
tamanho do pé— 36
signo— escorpião
tatuagens— nenhuma 
piercing— nenhum
cor fav— rosa
série fav— the oa
animal fav— gato
comida favー empada 
bebida fav— coca cola
jogo fav— n tenho https://t.co/0r2qq7gycx","2",""
"kkkkkkkkkkkk se vc acha mesmo q vai conseguir me conquistar com uma coxinha de esquina e uma lata de coca cola, você tá mais doq certo amigo 
pra mim, isso vale mais doq um anel de diamantes ou um iphone de 10mil reais","2",""
"@taekawx isso eh literalmente a gente nos churrascos e festa vc bebendo coca cola direto e eu intercalando entre agua e sprite/guarana","0",""
"estou com uma vontade imensa de beber coca-cola 😣","2",""
"coisas inúteis sobre mim
altura — 1,64
tamanho do pé — 37/38
signo —  não acredito 
tatuagens — 0 por enquanto heheh
piercing — 0
cor fav — amarelo / preto 
série fav —  riverdale
animal fav — gato
comida fav ー macarrão 
bebida fav — coca cola https://t.co/ozyp4zzeal","2",""
"almoço: coxinha, pastel, coca-cola

jantar: miojo de bacon","0",""
"só vejo como uma saída pra superar meu vício por coca cola sendo hipnotizada. eh isso... pyong leeeeeee","1",""
"café da manhã: nugget com ketchup e coca cola, credo q delicia","1",""
"@esp_interativo @luizfelipearts 😂😂😂 mini craques da coca cola voltaram","0",""
"hoje eu queria de café da manhã uma lata de coca-cola e um marlboro vermelho. mas vou fazer ovos mexidos e suco (no ensino médio eu não pensaria 2x pra escolher a primeira opção, mas agora eu gosto minimamente de mim)","1",""
"nem penso mais em beber coca cola tô bebendo sem pensar já","2",""
"@eqbastos @jacbolsonaro @receitafederal não cobra da globo, não cobra da uniserval, grandes empresas de refrigerante como coca cola tem gigantesca dívidas fiscais","0",""
"rt @bigodedact3: chinelo coca cola 🥰
tamanhos 37/38 39/0 https://t.co/s0vwt7u7v6","0",""
"rt @leylipharsabe: mandando a real pra coca cola https://t.co/d6p1rvv39v","0",""
"minha coca cola tá simplesmente com gosto de coca com vodca. &gt;:( minhas coca tao batizada ou sera minha boca zoada","0",""
"@lagautiuxa fala meu príncipe, última coca cola do deserto, só falta miar, encantador de novinhas, meu garanhão (esse foi feio kkkkk), meu gatão, e além de tudo inteligente. lindo, inteligente, pessoa de atitude, combo completo.","0",""
"rt @mavalle63: @juanborrelli cóca cola forever","2",""
"meu irmão acabou de derrubar coca-cola no feijão. masterchef tá diferente! kkkkkk","0",""
"coisas inúteis sobre mim

altura—1,57
tamanho do pé—36
signo— leão
tatuagens— 0
piercing— 1
cor fav— preto
série fav— (não tenho série favorita mas a última que vi foi dark)
animal fav— cachorro 
comida fav— lasanha
bebida fav— coca cola https://t.co/punkkb8uoy","2",""
"@titimuller parei de beber, fumo uma vez a cada deus sabe...mas a coca cola tá triste...miau","0",""
"qria beber água como eu bebo coca cola, oh vício maldito","1",""
"@fabvlouskilljoy tbm me irrita isso, a pessoa consegue hitar com coisas tão simples como ""amo batata frita"", ""gosto de coca-cola"", ""que preguiça de acordar cedo"", aaaaaaarrrr","0",""
"saudade de ir pra escola e tomar coca cola 6:30 da manhã 😔😔","0",""
"coisas inúteis sobre mim
altura — 1, 51
idade — 16
tamanho do pé — 35, 36 e as vezes 37 kkkkk
signo — leão
tatuagens — 2
piercing — 1
cor fav — preto
série fav — tô sem no momento
animal fav — cachorro
comida fav ー hambúrguer e batata frita
bebida fav — coca cola https://t.co/flsowz6ono","2",""
"acabei de descobrir que coca cola não é indicado de se beber pra quem usa aparelho 🤡🤡🤡🤡🤡🤡🤡🤡","1",""
"rt @cggardel: o vontade de comer um pão de alho, com uma coca cola de acompanhamento😟","0",""
"rt @letticiaalopes: as borboletas em meu estômago,
sempre morriam ao te ver chegando.
minha felicidade momentânea,
que durou apenas uma mad…","0",""
"cheirar cocaina ou injetar heroína? — prefiro tomar coca cola  https://t.co/zkbt0qarzu","2",""
"@eanxxiv ate parece a coca cola ela mata ate as bactéria nem covid eu pego","0",""
"virando um omeprazol com uma coca cola de café porque desgraça pouca é bobagem.","0",""
"@truco6zap lá vai uma piada engraçada

qual a diferença do gato para a coca-cola?

o gato mia e a coca light. https://t.co/oegcl1upqx","0",""
"o vontade de comer um pão de alho, com uma coca cola de acompanhamento😟","0",""
"rt @_vervloet_: coisas inúteis sobre mim
altura — 1,87
idade — 16
tamanho do pé — 43
signo — capricórnio
tatuagens — 0
piercing — 0
cor fav…","0",""
"coisas inúteis sobre mim

altura - 1,78 
numero do calçado - 39/40
signo/mbti - áries/esfj
tattoo - 0
piercings - 0
cor - preto
série fav - brooklyn 99
anime fav - no game no life e bsd
comida - strogonoff
bebida - vodka e coca cola
jogo fav - nier automata https://t.co/udqwndncva","1",""
"entornando coca cola pq ressaca é lixo, sangue de cristo tem poder","0",""
"@swlgbt coca cola semi nova vsf kkkkkkkkkkkkkkkkkkkkkkkkkkkk","0",""
"fico me sentindo estranha depois de beber mt coca cola mas continuo bebendo é droga essa porra?","1",""
"@laisxayg chegar e ir direto no du paulo comer pão de queijo com coca-cola","0",""
"coisas inúteis sobre mim
altura — 1,61 eu acho
idade — 19
tamanho do pé — 37
signo — peixes
tatuagens — 4
piercing — 1
cor fav — acho que preto
série fav — friends
animal fav — cachorro
comida fav — batata fritah
bebida fav — guaraná/coca cola (as pedra no rim gritando) https://t.co/gvn8wo8azs","1",""
"coisas inúteis sobre mim

altura — 1,57
tamanho do pé — 36/37
signo — leão
tatuagens — 0
piercing — 0
cor fav — preto
série fav — warrior nun/dark
animal fav —  gato
comida fav — lasanha
bebida fav — coca cola?
jogo fav — não jogo https://t.co/x6mvuomp58","2",""
"coisas inúteis sobre mim
altura — 1,58 sla
idade — 16
tamanho do pé — 34/35
signo — gêmeos
tatuagens — infelizmente 0
piercing — 2
cor fav — cinza
série fav — do momento, she-ra
animal fav — cachorros e gatos
comida fav ー lasanha
bebida fav — água ou coca-cola https://t.co/3nmnt8t6zm","1",""
"@gusmarques95 coca cola, fodac 🖕🏾","0",""
"era só meu amorzao e um cheddar com coca cola mesmo","0",""
"curiosidades sobre a coca-cola : esta em toda parte, é quase... - https://t.co/feddeu6mt1 https://t.co/nsbg9ed6tq","0",""
"minha mãe não brinca em serviço em 2 dias eu comprei 3 coca cola só para nós 2 o mulher para gostar tanto de coca kkkkk","0",""
"suco de maracujá bota a coca- cola para mamar.","1",""
"coisas inúteis sobre mim
altura — 1,66/67
idade — 17
tamanho do pé — 36/37
signo — gêmeos
tatuagens — nenhuma
piercing — nenhum
cor fav — rosa/amarela 
série fav — friends 
animal fav — gato 
comida fav ー frango empanado e purê 
bebida fav — coca cola 
jogo fav — the sims https://t.co/ieh3qo7b5n","2",""
"coisas inúteis sobre mim

altura— 1,59
tamanho do pé— 37
signo— escorpião 
tatuagens— 0 😼
piercing— 2
cor fav— vinho, preto 
série fav— ponto cego 
animal fav— cachorro
comida fav— pizza e pastel 
bebida fav— coca cola https://t.co/vcdrxsgjrz","2",""
"@sweetbiazin_ bebe coca cola agora","1",""
"coisas sobre mim check
altura: 1,71/2 (?)
idade: 23
tamanho do pé: 40/41
signo: câncer
tatuagens: 3
piercing: 0
cor fav: azul e cinza
série fav: euphoria
animal fav: gato
comida fav: várias 
bebida fav: coca cola café, cerveja
jogo fav: nenhum https://t.co/dbwxn4kytw","2",""
"vou me afundar em um copinho de coca-cola","0",""
"qualquer coisa sobre coca cola na tl eu lembro logo da @haruhowls essa conversa poderia mto bem ser nossa https://t.co/gfsghpahmh","0",""
"desabafo do dia, tentei ficar duas semanas sem coca cola e falhei. 😡","2",""
